species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_rhamnosus_GG_GCF_000026505.1	MGYG000004678	mutualism	0.0430	0.015305	0.015301	9	9	0.7536231884057971	1.2
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003152	mutualism	0.0223	0.090820	0.090835	9	7	0.8405797101449275	1.8
L_crispatus_M247_GCF_026740115.1	MGYG000000766	mutualism	0.0408	0.019335	0.019345	5	5	0.8493150684931506	0.8
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	competition	0.0303	-0.252573	-0.252572	5	6	0.7333333333333333	1.4
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001521	mutualism	0.0331	0.008169	0.008179	6	4	0.8493150684931506	0.9
L_crispatus_ST1_GCF_000091765.1	MGYG000002818	mutualism	0.0445	0.090606	0.090614	8	5	0.8125	2.0
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002297	competition	0.0705	-0.165444	-0.165455	4	6	0.7666666666666667	1.4
L_reuteri_DSM20016_GCF_000016825.1	MGYG000004431	competition	0.1101	-0.165745	-0.165727	6	7	0.6896551724137931	1.5
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002924	competition	0.4241	-0.203933	-0.203949	3	12	0.6551724137931034	1.1
L_crispatus_ST1_GCF_000091765.1	MGYG000000073	mutualism	0.0557	0.158714	0.158715	6	6	0.7619047619047619	1.9
L_paracasei_ATCC334_GCF_000014525.1	MGYG000000054	competition	0.0112	-0.188158	-0.188158	9	7	0.68	1.6
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002470	mutualism	0.0306	0.017761	0.017783	10	11	0.6071428571428571	1.7
L_crispatus_ST1_GCF_000091765.1	MGYG000003135	mutualism	0.0526	0.036438	0.036442	7	6	0.7878787878787878	1.9
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002557	competition	0.0589	-0.195074	-0.195076	3	7	0.7457627118644068	1.4
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004852	competition	0.1408	-0.383877	-0.383878	8	12	0.6153846153846154	1.5
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004375	competition	0.0251	-0.210194	-0.210202	11	7	0.8115942028985508	1.1
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001100	competition	0.0819	-0.333604	-0.333611	8	3	0.8732394366197183	1.8
L_reuteri_DSM20016_GCF_000016825.1	MGYG000004132	competition	0.0707	-0.126799	-0.126846	6	4	0.819672131147541	1.4
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003973	mutualism	0.0306	0.119201	0.035943	6	6	0.8235294117647058	1.1
L_crispatus_ST1_GCF_000091765.1	MGYG000002325	competition	0.0510	-0.120257	-0.120253	7	17	0.5882352941176471	1.9
L_casei_ATCC393_GCF_000829055.1	MGYG000000486	mutualism	0.0368	0.006394	0.006385	10	14	0.7272727272727273	2.2
L_casei_ATCC393_GCF_000829055.1	MGYG000001371	competition	0.3424	-0.432600	-0.432597	4	16	0.5416666666666666	2.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004701	mutualism	0.0088	0.103584	0.103579	8	4	0.6792452830188679	0.7
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004461	mutualism	0.0344	0.004010	0.004013	6	12	0.6896551724137931	1.3
L_rhamnosus_GG_GCF_000026505.1	MGYG000001654	mutualism	0.0744	0.021768	0.021762	6	7	0.6885245901639344	2.0
