species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_023516715.1	MGYG000002751	competition	0.0346	-0.144568	-0.144563	4	6	0.6666666666666666	1.2
akk_GCF_018847155.1	MGYG000001088	competition	0.1975	-0.329043	-0.329038	2	9	0.625	2.1
akk_GCF_000020225.1	MGYG000002041	competition	0.0712	-0.275441	-0.275439	4	8	0.6538461538461539	1.2
akk_GCF_018847135.1	MGYG000002954	mutualism	0.0098	0.079627	0.079629	7	9	0.68	1.4
akk_GCF_018847135.1	MGYG000001271	mutualism	0.0473	0.031922	0.031922	7	9	0.6428571428571429	1.8
akk_GCF_026072915.1	MGYG000002532	competition	0.0615	-0.263168	-0.263160	3	5	0.7317073170731707	2.1
akk_GCF_018847015.1	MGYG000001205	competition	0.0405	-0.147143	-0.147129	4	5	0.6666666666666666	1.2
akk_GCF_018847155.1	MGYG000001774	mutualism	0.0239	0.021198	0.021201	7	10	0.5614035087719298	1.3
akk_GCF_018847015.1	MGYG000000246	competition	0.0162	-0.029844	-0.029830	7	5	0.7272727272727273	2.2
akk_GCF_023516715.1	MGYG000002662	mutualism	0.0217	0.018605	0.018587	3	9	0.6440677966101694	0.5
akk_GCF_018847135.1	MGYG000000374	mutualism	0.0131	0.042463	0.042459	4	10	0.6349206349206349	0.9
akk_GCF_026072915.1	MGYG000004075	mutualism	0.0100	0.163372	0.163351	7	5	0.6923076923076923	0.5
akk_GCF_018847015.1	MGYG000003552	competition	0.0756	-0.206394	-0.206385	3	8	0.7058823529411765	1.9
akk_GCF_018847015.1	MGYG000001037	mutualism	0.0394	0.020062	0.020073	8	9	0.6333333333333333	1.2
akk_GCF_026072915.1	MGYG000001870	competition	0.0212	-0.119829	-0.119834	7	7	0.5769230769230769	1.3
akk_GCF_018847015.1	MGYG000004843	mutualism	0.0290	0.101753	0.101748	3	5	0.6923076923076923	1.2
akk_GCF_026072915.1	MGYG000000748	mutualism	0.0121	0.121706	0.121669	6	9	0.576271186440678	1.6
akk_GCF_023516715.1	MGYG000002369	competition	0.0310	-0.216359	-0.216351	6	7	0.7619047619047619	1.8
akk_GCF_018847155.1	MGYG000002398	competition	0.0142	-0.029996	-0.029995	5	5	0.7804878048780488	0.7
akk_GCF_018847135.1	MGYG000002277	mutualism	0.0654	0.001478	0.001480	6	6	0.7058823529411765	1.4
akk_GCF_018847135.1	MGYG000003153	mutualism	0.1023	0.022552	0.022556	6	7	0.7391304347826086	1.7
akk_GCF_018847135.1	MGYG000002640	competition	0.0630	-0.227457	-0.227461	3	6	0.7391304347826086	1.3
akk_GCF_018847155.1	MGYG000002283	competition	0.0866	-0.310863	-0.310858	4	6	0.6666666666666666	2.2
akk_GCF_018847155.1	MGYG000000002	competition	0.0836	-0.210268	-0.210266	5	6	0.7272727272727273	2.0
akk_GCF_023516715.1	MGYG000004075	mutualism	0.0152	0.366089	0.366065	7	7	0.7450980392156863	0.5
akk_GCF_026072915.1	MGYG000002009	mutualism	0.0182	0.053330	0.053331	6	5	0.6206896551724138	1.2
akk_GCF_018847015.1	MGYG000000129	mutualism	0.0223	0.075023	0.075007	6	4	0.7083333333333334	1.3
akk_GCF_026072915.1	MGYG000003220	mutualism	0.0270	0.026645	0.026644	6	9	0.6181818181818182	1.1
akk_GCF_000020225.1	MGYG000001836	mutualism	0.0274	0.008094	0.008091	6	7	0.631578947368421	1.0
akk_GCF_018847015.1	MGYG000000560	mutualism	0.0533	0.011176	0.011147	10	9	0.6538461538461539	1.3
akk_GCF_023516715.1	MGYG000003857	mutualism	0.0138	0.004860	0.004843	6	10	0.7037037037037037	1.1
akk_GCF_023516715.1	MGYG000004119	mutualism	0.0023	0.224081	0.223976	4	12	0.59375	0.9
akk_GCF_023516715.1	MGYG000001340	competition	0.0488	-0.125531	-0.125531	9	10	0.6428571428571429	1.5
akk_GCF_023516715.1	MGYG000003097	competition	0.3199	-0.327976	-0.327972	1	4	0.7272727272727273	2.0
akk_GCF_018847015.1	MGYG000002562	competition	0.0158	-0.225941	-0.225964	7	7	0.6538461538461539	1.2
akk_GCF_018847135.1	MGYG000001244	mutualism	0.0270	0.019933	0.019931	5	6	0.6545454545454545	1.1
akk_GCF_026072915.1	MGYG000004085	mutualism	0.0384	0.001918	0.001916	3	7	0.6071428571428571	1.2
akk_GCF_018847135.1	MGYG000002779	competition	0.0207	-0.162071	-0.162063	6	9	0.5517241379310345	1.2
akk_GCF_023516715.1	MGYG000004797	competition	0.0699	-0.428338	-0.428333	3	4	0.7441860465116279	1.3
akk_GCF_026072915.1	MGYG000000932	mutualism	0.0267	0.039955	0.039958	3	6	0.6538461538461539	1.4
akk_GCF_026072915.1	MGYG000000669	mutualism	0.0229	0.041915	0.041917	6	13	0.5925925925925926	1.3
akk_GCF_018847135.1	MGYG000000787	competition	0.0268	-0.146026	-0.146021	3	7	0.6538461538461539	1.2
akk_GCF_023516715.1	MGYG000004199	mutualism	0.0189	0.197571	0.197570	6	8	0.6557377049180327	0.9
akk_GCF_018847135.1	MGYG000004723	mutualism	0.0597	0.136553	0.136555	7	7	0.5660377358490566	2.1
akk_GCF_000020225.1	MGYG000003099	competition	0.0484	-0.192881	-0.192882	6	7	0.6274509803921569	1.4
akk_GCF_026072915.1	MGYG000004113	mutualism	0.0196	0.134211	0.134204	7	10	0.6229508196721312	1.1
akk_GCF_026072915.1	MGYG000001226	mutualism	0.0290	0.060706	0.060710	8	7	0.6666666666666666	1.3
akk_GCF_000020225.1	MGYG000000011	competition	0.0463	-0.328229	-0.328223	7	6	0.6829268292682927	2.8
akk_GCF_018847155.1	MGYG000004400	mutualism	0.0100	0.002595	0.002575	6	11	0.5806451612903226	1.0
akk_GCF_026072915.1	MGYG000001416	competition	0.0791	-0.294279	-0.294275	6	7	0.7272727272727273	1.7
akk_GCF_026072915.1	MGYG000001298	competition	0.0998	-0.169283	-0.169278	3	5	0.7317073170731707	1.8
akk_GCF_023516715.1	MGYG000004498	competition	0.0061	-0.078031	-0.078060	7	9	0.6451612903225806	0.9
akk_GCF_018847155.1	MGYG000003099	competition	0.0523	-0.195467	-0.195468	5	6	0.6274509803921569	1.2
akk_GCF_023516715.1	MGYG000000255	competition	0.0267	-0.137688	-0.137686	9	5	0.6666666666666666	1.4
akk_GCF_018847015.1	MGYG000000944	mutualism	0.0200	0.076984	0.076960	10	6	0.6666666666666666	1.2
akk_GCF_018847015.1	MGYG000002163	mutualism	0.0242	0.295018	0.295013	6	4	0.25	1.1
akk_GCF_026072915.1	MGYG000004050	mutualism	0.0175	0.003415	0.003391	6	6	0.6666666666666666	1.2
akk_GCF_018847015.1	MGYG000001466	competition	0.0432	-0.218893	-0.218877	9	6	0.7	3.0
akk_GCF_023516715.1	MGYG000004533	mutualism	0.0077	0.286561	0.286541	10	10	0.6451612903225806	1.1
akk_GCF_018847015.1	MGYG000003503	mutualism	0.0284	0.041217	0.041223	4	14	0.6176470588235294	0.9
akk_GCF_018847135.1	MGYG000001889	mutualism	0.0243	0.074733	0.074728	5	7	0.6037735849056604	1.2
akk_GCF_018847155.1	MGYG000002747	competition	0.1017	-0.224147	-0.224142	3	8	0.64	1.2
akk_GCF_026072915.1	MGYG000000344	mutualism	0.0068	0.029003	0.028975	9	6	0.6428571428571429	1.8
akk_GCF_018847155.1	MGYG000001601	competition	0.0286	-0.158266	-0.158280	5	13	0.5714285714285714	1.2
akk_GCF_000020225.1	MGYG000002032	competition	0.0428	-0.257213	-0.257208	2	6	0.6666666666666666	1.2
akk_GCF_018847135.1	MGYG000000704	mutualism	0.0142	0.382487	0.382456	7	10	0.6229508196721312	1.1
akk_GCF_000020225.1	MGYG000003432	mutualism	0.0270	0.103927	0.103913	7	9	0.5555555555555556	1.2
akk_GCF_018847135.1	MGYG000004296	mutualism	0.0174	0.027705	0.027677	6	6	0.72	1.4
akk_GCF_018847015.1	MGYG000000176	competition	0.0715	-0.152008	-0.151990	9	5	0.75	2.6
akk_GCF_018847155.1	MGYG000004465	competition	0.0274	-0.013636	-0.013634	6	10	0.6440677966101694	1.2
akk_GCF_000020225.1	MGYG000002314	competition	0.0398	-0.239770	-0.239766	5	5	0.7027027027027027	2.3
akk_GCF_018847015.1	MGYG000003017	competition	0.0511	-0.288420	-0.288423	5	5	0.6521739130434783	1.4
akk_GCF_018847015.1	MGYG000002355	competition	0.0346	-0.159920	-0.159904	6	8	0.6274509803921569	2.6
akk_GCF_000020225.1	MGYG000001781	mutualism	0.0249	0.050390	0.050382	4	9	0.5925925925925926	1.2
akk_GCF_018847015.1	MGYG000000704	mutualism	0.0125	0.127566	0.127543	7	9	0.6129032258064516	0.5
akk_GCF_018847015.1	MGYG000001418	competition	0.0699	-0.143578	-0.143569	4	6	0.6976744186046512	2.0
akk_GCF_026072915.1	MGYG000003525	competition	0.1459	-0.200253	-0.200253	2	6	0.6545454545454545	1.2
akk_GCF_018847015.1	MGYG000004587	mutualism	0.0242	0.028148	0.028160	8	8	0.7272727272727273	2.1
akk_GCF_018847015.1	MGYG000000429	mutualism	0.0129	0.139874	0.139868	6	11	0.6129032258064516	0.5
akk_GCF_000020225.1	MGYG000003393	competition	0.0748	-0.325286	-0.325279	7	7	0.6666666666666666	2.6
akk_GCF_018847135.1	MGYG000000241	competition	0.0556	-0.208100	-0.208107	7	6	0.7555555555555555	1.5
akk_GCF_018847135.1	MGYG000001649	mutualism	0.0269	0.264117	0.264118	8	8	0.6666666666666666	1.3
akk_GCF_023516715.1	MGYG000004079	mutualism	0.0188	0.095961	0.095947	8	7	0.6	1.1
akk_GCF_023516715.1	MGYG000002163	mutualism	0.0298	0.345935	0.345922	6	3	0.3225806451612903	1.4
