species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002884	mutualism	0.0469	0.084913	0.084915	7	10	0.75	1.5
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002412	competition	0.0244	-0.079212	-0.079201	8	15	0.6206896551724138	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003011	mutualism	0.0082	0.231452	0.231404	7	10	0.696969696969697	1.7
L_crispatus_M247_GCF_026740115.1	MGYG000002948	competition	0.0559	-0.294743	-0.294742	4	5	0.7096774193548387	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000001609	mutualism	0.0458	0.239084	0.239085	5	11	0.6774193548387096	1.6
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004064	competition	0.0669	-0.172224	-0.172218	4	6	0.7941176470588235	1.5
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000001241	mutualism	0.0259	0.359685	0.359611	5	6	0.7777777777777778	1.1
L_casei_ATCC393_GCF_000829055.1	MGYG000001641	competition	0.0620	-0.146361	-0.146370	6	10	0.676923076923077	0.6
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000045	competition	0.0577	-0.360105	-0.360103	4	8	0.6666666666666666	1.7
L_crispatus_M247_GCF_026740115.1	MGYG000003583	competition	0.1051	-0.306007	-0.306008	4	6	0.7017543859649122	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004769	mutualism	0.0090	0.206815	0.206809	9	6	0.7142857142857143	1.7
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003099	competition	0.0451	-0.253181	-0.253173	8	9	0.7272727272727273	1.8
L_crispatus_M247_GCF_026740115.1	MGYG000003173	competition	0.0536	-0.244761	-0.244761	6	7	0.7692307692307693	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000000374	competition	0.0708	-0.067892	-0.067889	3	5	0.88	0.9
L_crispatus_M247_GCF_026740115.1	MGYG000004134	mutualism	0.0103	0.140172	0.140147	9	14	0.7241379310344828	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002377	competition	0.0578	-0.092823	-0.092824	7	7	0.7540983606557377	0.8
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002186	competition	0.0186	-0.325402	-0.325397	9	7	0.7419354838709677	1.5
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004335	competition	0.0547	-0.300666	-0.300664	8	6	0.7936507936507936	1.7
L_casei_ATCC393_GCF_000829055.1	MGYG000001697	competition	0.0390	-0.329994	-0.329994	8	8	0.6538461538461539	1.5
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000422	competition	0.0181	-0.003345	-0.003357	5	9	0.711864406779661	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001132	mutualism	0.0169	0.109272	0.109264	8	11	0.711864406779661	1.9
L_crispatus_ST1_GCF_000091765.1	MGYG000004079	mutualism	0.0203	0.414551	0.414532	6	7	0.7777777777777778	1.0
L_crispatus_M247_GCF_026740115.1	MGYG000000847	mutualism	0.0447	0.119473	0.119473	4	10	0.7	1.5
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003589	mutualism	0.0247	0.401012	0.401011	12	16	0.7333333333333333	1.9
L_rhamnosus_GG_GCF_000026505.1	MGYG000004199	competition	0.0375	-0.106197	-0.106200	5	9	0.7761194029850746	1.0
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003605	mutualism	0.0498	0.007675	0.007512	7	6	0.868421052631579	1.1
L_rhamnosus_GG_GCF_000026505.1	MGYG000002651	mutualism	0.0343	0.079024	0.078995	7	9	0.6779661016949152	1.9
L_casei_ATCC393_GCF_000829055.1	MGYG000002544	mutualism	0.0275	0.112721	0.112719	8	11	0.6666666666666666	1.5
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003843	mutualism	0.0079	0.361643	0.361616	9	7	0.7714285714285715	1.3
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003868	mutualism	0.0068	0.317935	0.317945	5	12	0.7017543859649122	2.0
L_casei_ATCC393_GCF_000829055.1	MGYG000000163	competition	0.0467	-0.466502	-0.466504	6	14	0.7017543859649122	1.8
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002382	competition	0.0896	-0.347430	-0.347427	8	12	0.6122448979591837	2.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002181	mutualism	0.0239	0.012189	0.012184	6	7	0.7761194029850746	1.7
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004479	competition	0.0861	-0.373017	-0.373014	4	9	0.6792452830188679	1.7
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003605	mutualism	0.1080	0.013847	0.013691	5	7	0.8421052631578947	0.5
L_crispatus_M247_GCF_026740115.1	MGYG000001017	mutualism	0.0182	0.279099	0.279061	5	4	0.8	1.9
L_crispatus_M247_GCF_026740115.1	MGYG000002620	mutualism	0.0177	0.172571	0.172572	7	14	0.7017543859649122	1.6
L_crispatus_M247_GCF_026740115.1	MGYG000002944	mutualism	0.0328	0.102179	0.102184	7	13	0.71875	1.3
L_crispatus_M247_GCF_026740115.1	MGYG000001856	mutualism	0.0159	0.593253	0.593238	15	11	0.2222222222222222	0.9
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002291	competition	0.0259	-0.004144	-0.004130	8	10	0.6296296296296297	2.1
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004633	competition	0.0175	-0.283795	-0.283793	8	6	0.6666666666666666	1.3
L_crispatus_M247_GCF_026740115.1	MGYG000004189	mutualism	0.0215	0.532974	0.532950	5	10	0.7575757575757576	1.2
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001655	mutualism	0.0255	0.177113	0.177117	6	9	0.7692307692307693	1.3
L_crispatus_M247_GCF_026740115.1	MGYG000000956	competition	0.0253	-0.104752	-0.104753	6	3	0.8529411764705882	1.7
L_crispatus_M247_GCF_026740115.1	MGYG000000010	competition	0.0961	-0.356406	-0.356400	7	16	0.6	2.0
L_crispatus_ST1_GCF_000091765.1	MGYG000000862	competition	0.1206	-0.418436	-0.418438	4	7	0.7301587301587301	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002620	mutualism	0.0154	0.064638	0.064636	14	9	0.7450980392156863	1.3
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003233	mutualism	0.0259	0.100136	0.100146	9	9	0.7619047619047619	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000001328	competition	0.0632	-0.357642	-0.357638	9	15	0.6071428571428571	1.9
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004667	competition	0.0468	-0.234318	-0.234310	4	15	0.5769230769230769	2.7
L_crispatus_M247_GCF_026740115.1	MGYG000004292	mutualism	0.0437	0.136024	0.136022	5	5	0.7692307692307693	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000001631	mutualism	0.0543	0.216419	0.216417	10	10	0.6779661016949152	1.5
L_crispatus_M247_GCF_026740115.1	MGYG000000415	mutualism	0.0274	0.077416	0.077408	12	8	0.6896551724137931	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000004665	competition	0.2403	-0.379383	-0.379389	6	10	0.8285714285714286	1.9
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004875	competition	0.2323	-0.403271	-0.403273	5	5	0.7692307692307693	1.2
L_rhamnosus_GG_GCF_000026505.1	MGYG000002578	competition	0.0535	-0.182227	-0.182232	8	6	0.7619047619047619	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002616	competition	0.0198	-0.204599	-0.204609	4	8	0.72	1.1
L_crispatus_ST1_GCF_000091765.1	MGYG000003083	competition	0.0615	-0.215938	-0.215937	5	7	0.7096774193548387	1.7
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000004902	mutualism	0.0324	0.326772	0.326770	8	17	0.6666666666666666	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000003016	competition	0.0393	-0.291885	-0.291880	6	15	0.6037735849056604	2.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002169	mutualism	0.0296	0.036816	0.036840	6	6	0.8205128205128205	0.8
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000088	competition	0.0604	-0.376788	-0.376788	4	8	0.6785714285714286	2.1
L_crispatus_M247_GCF_026740115.1	MGYG000001635	competition	0.0513	-0.298048	-0.298047	4	10	0.7	1.5
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003906	competition	0.2189	-0.292804	-0.292805	2	6	0.8	1.2
L_rhamnosus_GG_GCF_000026505.1	MGYG000002047	mutualism	0.0075	0.434129	0.434087	9	12	0.71875	1.1
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002805	mutualism	0.0395	0.122337	0.122337	5	7	0.7619047619047619	1.2
L_casei_ATCC393_GCF_000829055.1	MGYG000003654	mutualism	0.0219	0.204930	0.204921	5	7	0.7647058823529411	1.9
L_rhamnosus_GG_GCF_000026505.1	MGYG000002880	competition	0.1110	-0.149502	-0.149503	4	5	0.7169811320754716	1.3
L_casei_ATCC393_GCF_000829055.1	MGYG000003397	competition	0.1341	-0.195256	-0.195263	4	14	0.6071428571428571	1.4
L_crispatus_M247_GCF_026740115.1	MGYG000001230	competition	0.0209	-0.239822	-0.239823	10	7	0.6451612903225806	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000002858	competition	0.0726	-0.293866	-0.293864	5	6	0.7096774193548387	1.8
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000000493	mutualism	0.0843	0.013595	0.013595	4	11	0.746268656716418	1.1
L_crispatus_M247_GCF_026740115.1	MGYG000001238	mutualism	0.0285	0.404262	0.404260	5	7	0.6129032258064516	0.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003368	competition	0.0365	-0.124031	-0.124038	7	9	0.8181818181818182	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000002348	competition	0.6310	-0.495505	-0.495512	0	1	0.8985507246376812	1.3
L_casei_ATCC393_GCF_000829055.1	MGYG000000291	competition	0.0833	-0.079055	-0.079226	6	14	0.5666666666666667	1.9
L_crispatus_ST1_GCF_000091765.1	MGYG000000535	competition	0.0604	-0.215573	-0.215576	3	7	0.75	1.2
L_reuteri_DSM20016_GCF_000016825.1	MGYG000001593	mutualism	0.0345	0.039883	0.039892	9	9	0.6779661016949152	1.6
L_crispatus_M247_GCF_026740115.1	MGYG000001596	competition	0.0536	-0.351024	-0.351019	6	11	0.6896551724137931	1.5
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000000315	mutualism	0.0510	0.012215	0.012220	5	11	0.7384615384615385	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000002954	mutualism	0.0468	0.374677	0.374676	9	14	0.6774193548387096	2.1
L_rhamnosus_GG_GCF_000026505.1	MGYG000004093	mutualism	0.0225	0.091735	0.091717	7	12	0.6785714285714286	1.4
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003059	competition	0.0437	-0.007222	-0.007216	6	4	0.8	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004790	mutualism	0.0026	0.233379	0.233352	12	6	0.782608695652174	1.1
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000554	competition	0.0251	-0.070160	-0.070167	3	17	0.631578947368421	1.4
L_rhamnosus_GG_GCF_000026505.1	MGYG000002954	mutualism	0.0603	0.032206	0.032203	10	12	0.5964912280701754	1.4
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002521	competition	0.0538	-0.342777	-0.342777	9	12	0.5581395348837209	2.8
L_crispatus_ST1_GCF_000091765.1	MGYG000002277	competition	0.0540	-0.121525	-0.121525	5	10	0.7096774193548387	1.4
L_casei_ATCC393_GCF_000829055.1	MGYG000004332	competition	0.0546	-0.343773	-0.343774	4	5	0.7540983606557377	2.0
L_crispatus_ST1_GCF_000091765.1	MGYG000001891	mutualism	0.0287	0.132645	0.132707	8	3	0.8611111111111112	1.0
L_crispatus_ST1_GCF_000091765.1	MGYG000003346	mutualism	0.0339	0.004966	0.004959	6	4	0.7	1.4
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000663	mutualism	0.0020	0.771698	0.771635	8	15	0.7027027027027027	1.1
L_crispatus_M247_GCF_026740115.1	MGYG000004229	mutualism	0.0289	0.456772	0.456755	4	7	0.746268656716418	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000004026	mutualism	0.0169	0.041890	0.041885	7	8	0.782608695652174	1.3
L_crispatus_ST1_GCF_000091765.1	MGYG000001417	competition	0.0530	-0.138169	-0.138165	7	17	0.5769230769230769	2.8
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004550	competition	0.0685	-0.364217	-0.364218	4	6	0.7	1.4
L_paracasei_ATCC334_GCF_000014525.1	MGYG000000129	mutualism	0.0295	0.107186	0.107171	4	7	0.6545454545454545	0.7
L_crispatus_M247_GCF_026740115.1	MGYG000004433	mutualism	0.0464	0.128517	0.128510	6	11	0.6557377049180327	1.4
L_crispatus_M247_GCF_026740115.1	MGYG000003769	competition	0.0614	-0.233356	-0.233354	2	8	0.6206896551724138	2.4
L_rhamnosus_GG_GCF_000026505.1	MGYG000002846	mutualism	0.0419	0.027382	0.027381	11	13	0.6153846153846154	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003843	mutualism	0.0105	0.615579	0.615552	11	12	0.7246376811594203	0.7
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003705	competition	0.0607	-0.173594	-0.173593	6	6	0.8307692307692308	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000267	mutualism	0.0549	0.050194	0.050206	6	8	0.6440677966101694	1.4
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000304	mutualism	0.0192	0.608811	0.608774	7	7	0.6551724137931034	2.0
L_crispatus_ST1_GCF_000091765.1	MGYG000003184	competition	0.0759	-0.306874	-0.306868	5	19	0.46808510638297873	2.4
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002699	mutualism	0.0469	0.462615	0.462625	7	7	0.746268656716418	1.4
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003573	mutualism	0.0941	0.006041	0.005974	5	9	0.75	1.1
L_rhamnosus_GG_GCF_000026505.1	MGYG000001393	competition	0.0547	-0.320470	-0.320466	7		0.5333333333333333	3.5
L_rhamnosus_GG_GCF_000026505.1	MGYG000002440	mutualism	0.0273	0.170016	0.170006	10	12	0.6206896551724138	1.5
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002696	competition	0.0397	-0.096732	-0.096711	5	6	0.7878787878787878	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003122	competition	0.0592	-0.295568	-0.295570	5	6	0.7666666666666667	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004522	competition	0.0575	-0.355044	-0.355045	5	8	0.7213114754098361	1.2
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001433	competition	0.0158	-0.102354	-0.102352	5	9	0.5925925925925926	1.6
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004132	competition	0.1303	-0.189523	-0.189542	5	7	0.6101694915254238	2.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002760	competition	0.0858	-0.291571	-0.291570	5	4	0.8125	1.2
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000000559	competition	0.0381	-0.043284	-0.043279	8	11	0.7301587301587301	1.4
L_crispatus_M247_GCF_026740115.1	MGYG000003667	competition	0.0312	-0.017276	-0.017245	3	6	0.8533333333333334	0.7
L_crispatus_M247_GCF_026740115.1	MGYG000000422	mutualism	0.0276	0.110908	0.110897	5	8	0.7692307692307693	0.5
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004257	mutualism	0.0170	0.009842	0.009652	4	9	0.676923076923077	0.6
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004683	mutualism	0.0193	0.625331	0.625313	6	6	0.8266666666666667	1.9
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000156	competition	0.0386	-0.314960	-0.314963	4	5	0.8620689655172413	1.4
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004257	mutualism	0.0041	0.464096	0.463910	4	5	0.8055555555555556	0.5
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000529	mutualism	0.0405	0.245919	0.245920	5	10	0.7936507936507936	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000000575	competition	0.0430	-0.139471	-0.139472	5	12	0.5862068965517241	1.4
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002725	competition	0.0480	-0.047525	-0.047519	6	9	0.7945205479452054	1.4
