sys_label	metabolite	cpd	n_pairs	n_mut	frac
Lactobacillus × UHGG (gut)	Propanal	cpd00371	1769	45762	0.038656527249683145
Lactobacillus × UHGG (gut)	Pyridoxol	cpd00263	1510	45762	0.032996809580000876
Lactobacillus × UHGG (gut)	PAN	cpd00644	1155	45762	0.025239281499934443
Lactobacillus × UHGG (gut)	L-Lysine	cpd00039	1043	45762	0.022791836021152923
Lactobacillus × UHGG (gut)	indol	cpd00359	888	45762	0.019404746296053495
Lactobacillus × UHGG (gut)	GABA	cpd00281	861	45762	0.01881473711813295
Lactobacillus × UHGG (gut)	Riboflavin	cpd00220	839	45762	0.01833398889908658
Lactobacillus × UHGG (gut)	Galactose	cpd00108	757	45762	0.016542109173550108
Lactobacillus × UHGG (gut)	L-Alanine	cpd00035	723	45762	0.015799134653205718
Lactobacillus × UHGG (gut)	S-Adenosyl-L-methionine	cpd00017	718	45762	0.01568987369433154
Lactobacillus × UHGG (gut)	L-Phenylalanine	cpd00066	700	45762	0.01529653424238451
Lactobacillus × UHGG (gut)	Glycerol-3-phosphate	cpd00080	612	45762	0.01337354136619903
Lactobacillus × UHGG (gut)	Xylitol	cpd00306	606	45762	0.01324242821555002
Lactobacillus × UHGG (gut)	Glycolate	cpd00139	576	45762	0.01258686246230497
Lactobacillus × UHGG (gut)	L-Valine	cpd00156	502	45762	0.010969800270967178
Lactobacillus × UHGG (gut)	Adenosine	cpd00182	444	45762	0.009702373148026747
Lactobacillus × UHGG (gut)	Folate	cpd00393	419	45762	0.009156068353655872
Lactobacillus × UHGG (gut)	ocdca	cpd01080	419	45762	0.009156068353655872
Lactobacillus × UHGG (gut)	Thiamin	cpd00305	419	45762	0.009156068353655872
Lactobacillus × UHGG (gut)	D-Alanine	cpd00117	414	45762	0.009046807394781697
Lactobacillus × UHGG (gut)	GLCN	cpd00222	392	45762	0.008566059175735326
Lactobacillus × UHGG (gut)	Heme	cpd00028	303	45762	0.00662121410777501
Lactobacillus × UHGG (gut)	L-Tyrosine	cpd00069	286	45762	0.006249726847602815
Lactobacillus × UHGG (gut)	L-Methionine	cpd00060	274	45762	0.005987500546304795
Lactobacillus × UHGG (gut)	L-Tryptophan	cpd00065	256	45762	0.005594161094357764
Lactobacillus × UHGG (gut)	L-Cysteine	cpd00084	234	45762	0.005113412875311394
Lactobacillus × UHGG (gut)	Cytosine	cpd00307	158	45762	0.0034526463004239324
Lactobacillus × UHGG (gut)	TRHL	cpd00794	149	45762	0.003255976574450417
Lactobacillus × UHGG (gut)	L-Arginine	cpd00051	114	45762	0.002491149862331192
Lactobacillus × UHGG (gut)	S-Adenosyl-homocysteine	cpd00019	108	45762	0.0023600367116821818
Lactobacillus × UHGG (gut)	GLUM	cpd00276	106	45762	0.0023163323281325116
Lactobacillus × UHGG (gut)	Xylose	cpd00154	83	45762	0.0018137319173113064
Lactobacillus × UHGG (gut)	L-Serine	cpd00054	80	45762	0.0017481753419868013
Lactobacillus × UHGG (gut)	Maltose	cpd00179	53	45762	0.0011581661640662558
Lactobacillus × UHGG (gut)	L-Aspartate	cpd00041	50	45762	0.0010926095887417507
Lactobacillus × UHGG (gut)	N-Acetyl-D-glucosamine	cpd00122	43	45762	0.0009396442463179056
Lactobacillus × UHGG (gut)	D-Fructose	cpd00082	42	45762	0.0009177920545430706
Lactobacillus × UHGG (gut)	L-Inositol	cpd00121	39	45762	0.0008522354792185657
