model_id	fastmic_growth	cobra_growth	abs_diff	rel_diff_pct
MGYG000000523__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000523__gradient_L5_pectin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000523__gradient_L6_resistant_starch_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000523__gradient_L7_bglucan_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000523__gradient_L8_hmo_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000523__gradient_L9_mos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000526__gradient_L0_base_gapseq	0.24644600	0.24644600	0.00e+00	0.0000
MGYG000000526__gradient_L1_inulin_gapseq	0.36884400	0.36884400	0.00e+00	0.0000
MGYG000000526__gradient_L2_fos_gapseq	0.36884400	0.36884400	0.00e+00	0.0000
MGYG000000526__gradient_L3_gos_gapseq	0.44044500	0.44044500	0.00e+00	0.0000
MGYG000000526__gradient_L4_xos_gapseq	0.52889200	0.52889200	0.00e+00	0.0000
MGYG000000526__gradient_L5_pectin_gapseq	0.52889200	0.52889200	0.00e+00	0.0000
MGYG000000526__gradient_L6_resistant_starch_gapseq	0.78874300	0.78874300	0.00e+00	0.0000
MGYG000000526__gradient_L7_bglucan_gapseq	0.94741400	0.94741400	0.00e+00	0.0000
MGYG000000526__gradient_L8_hmo_gapseq	0.94741400	0.94741400	0.00e+00	0.0000
MGYG000000526__gradient_L9_mos_gapseq	1.04859500	1.04859500	0.00e+00	0.0000
MGYG000000527__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L3_gos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L5_pectin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L6_resistant_starch_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L7_bglucan_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L8_hmo_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000527__gradient_L9_mos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000529__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000529__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000529__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000529__gradient_L3_gos_gapseq	0.56023000	0.56023000	0.00e+00	0.0000
MGYG000000529__gradient_L4_xos_gapseq	0.56023000	0.56023000	0.00e+00	0.0000
MGYG000000529__gradient_L5_pectin_gapseq	0.56023000	0.56023000	0.00e+00	0.0000
MGYG000000529__gradient_L6_resistant_starch_gapseq	0.67358400	0.67358400	0.00e+00	0.0000
MGYG000000529__gradient_L7_bglucan_gapseq	0.67358400	0.67358400	0.00e+00	0.0000
MGYG000000529__gradient_L8_hmo_gapseq	0.67358400	0.67358400	0.00e+00	0.0000
