model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	fba_time_s
MGYG000000047__gradient_L7_bglucan_gapseq	1538	1795	512	R_EX_cpd11416_c0	3.040983	0.017264	0.025262
MGYG000000047__gradient_L8_hmo_gapseq	1538	1795	512	R_EX_cpd11416_c0	3.212753	0.017264	0.025969
MGYG000000047__gradient_L9_mos_gapseq	1538	1795	512	R_EX_cpd11416_c0	3.379867	0.017264	0.025871
MGYG000000051__gradient_L0_base_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007837
MGYG000000051__gradient_L1_inulin_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007728
MGYG000000051__gradient_L2_fos_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007708
MGYG000000051__gradient_L3_gos_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007656
MGYG000000051__gradient_L4_xos_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007687
MGYG000000051__gradient_L5_pectin_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007587
MGYG000000051__gradient_L6_resistant_starch_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.007953
MGYG000000051__gradient_L7_bglucan_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.008080
MGYG000000051__gradient_L8_hmo_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.008110
MGYG000000051__gradient_L9_mos_gapseq	1361	1548	442	R_EX_cpd11416_c0	-0.000000	0.014874	0.008291
MGYG000000057__gradient_L0_base_gapseq	1381	1663	496	R_EX_cpd11416_c0	-0.000000	0.015750	0.009883
MGYG000000057__gradient_L1_inulin_gapseq	1381	1663	496	R_EX_cpd11416_c0	-0.000000	0.015750	0.010209
MGYG000000057__gradient_L2_fos_gapseq	1381	1663	496	R_EX_cpd11416_c0	-0.000000	0.015750	0.010189
MGYG000000057__gradient_L3_gos_gapseq	1381	1663	496	R_EX_cpd11416_c0	1.232533	0.015750	0.024222
MGYG000000057__gradient_L4_xos_gapseq	1381	1663	496	R_EX_cpd11416_c0	1.374592	0.015750	0.024775
MGYG000000057__gradient_L5_pectin_gapseq	1381	1663	496	R_EX_cpd11416_c0	1.374592	0.015750	0.024718
MGYG000000057__gradient_L6_resistant_starch_gapseq	1381	1663	496	R_EX_cpd11416_c0	1.883792	0.015750	0.025233
MGYG000000057__gradient_L7_bglucan_gapseq	1381	1663	496	R_EX_cpd11416_c0	2.048744	0.015750	0.026073
MGYG000000057__gradient_L8_hmo_gapseq	1381	1663	496	R_EX_cpd11416_c0	2.048744	0.015750	0.026016
MGYG000000057__gradient_L9_mos_gapseq	1381	1663	496	R_EX_cpd11416_c0	2.153931	0.015750	0.024189
MGYG000000060__gradient_L0_base_gapseq	1365	1534	395	R_EX_cpd11416_c0	-0.000000	0.014917	0.008028
MGYG000000060__gradient_L1_inulin_gapseq	1365	1534	395	R_EX_cpd11416_c0	-0.000000	0.014917	0.007791
MGYG000000060__gradient_L2_fos_gapseq	1365	1534	395	R_EX_cpd11416_c0	-0.000000	0.014917	0.007813
MGYG000000060__gradient_L3_gos_gapseq	1365	1534	395	R_EX_cpd11416_c0	0.905600	0.014917	0.020503
MGYG000000060__gradient_L4_xos_gapseq	1365	1534	395	R_EX_cpd11416_c0	0.905600	0.014917	0.020697
MGYG000000060__gradient_L5_pectin_gapseq	1365	1534	395	R_EX_cpd11416_c0	0.938446	0.014917	0.021402
MGYG000000060__gradient_L6_resistant_starch_gapseq	1365	1534	395	R_EX_cpd11416_c0	1.407703	0.014917	0.021196
MGYG000000060__gradient_L7_bglucan_gapseq	1365	1534	395	R_EX_cpd11416_c0	1.565129	0.014917	0.021174
MGYG000000060__gradient_L8_hmo_gapseq	1365	1534	395	R_EX_cpd11416_c0	1.565129	0.014917	0.021087
MGYG000000060__gradient_L9_mos_gapseq	1365	1534	395	R_EX_cpd11416_c0	1.638139	0.014917	0.021499
MGYG000000061__gradient_L0_base_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.379755	0.012919	0.016470
MGYG000000061__gradient_L1_inulin_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.569638	0.012919	0.016691
MGYG000000061__gradient_L2_fos_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.569638	0.012919	0.016718
MGYG000000061__gradient_L3_gos_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.740533	0.012919	0.015946
MGYG000000061__gradient_L4_xos_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.740533	0.012919	0.016005
MGYG000000061__gradient_L5_pectin_gapseq	1183	1311	331	R_EX_cpd11416_c0	0.740533	0.012919	0.015847
MGYG000000061__gradient_L6_resistant_starch_gapseq	1183	1311	331	R_EX_cpd11416_c0	1.138900	0.012919	0.016139
MGYG000000061__gradient_L7_bglucan_gapseq	1183	1311	331	R_EX_cpd11416_c0	1.138900	0.012919	0.016161
MGYG000000061__gradient_L8_hmo_gapseq	1183	1311	331	R_EX_cpd11416_c0	1.138900	0.012919	0.016115
MGYG000000061__gradient_L9_mos_gapseq	1183	1311	331	R_EX_cpd11416_c0	1.232063	0.012919	0.016164
MGYG000000062__gradient_L0_base_gapseq	1370	1580	463	R_EX_cpd11416_c0	0.720512	0.015056	0.021259
MGYG000000062__gradient_L1_inulin_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.083418	0.015056	0.022024
MGYG000000062__gradient_L2_fos_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.083418	0.015056	0.022003
MGYG000000062__gradient_L3_gos_gapseq	1370	1580	463	R_EX_cpd11416_c0	1.190639	0.015056	0.022536
