model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	pfba_time_s
MGYG000000040__gradient_L2_fos_gapseq	1293	1415	361	bio1	0.000000	1.283721	0.070525
MGYG000000040__gradient_L3_gos_gapseq	1293	1415	361	bio1	0.000000	1.200036	0.077940
MGYG000000040__gradient_L4_xos_gapseq	1293	1415	361	bio1	0.000000	1.323647	0.072220
MGYG000000040__gradient_L5_pectin_gapseq	1293	1415	361	bio1	0.000000	1.221092	0.070123
MGYG000000040__gradient_L6_resistant_starch_gapseq	1293	1415	361	bio1	0.000000	1.353348	0.067450
MGYG000000040__gradient_L7_bglucan_gapseq	1293	1415	361	bio1	0.000000	1.249911	0.066388
MGYG000000040__gradient_L8_hmo_gapseq	1293	1415	361	bio1	0.000000	1.353534	0.070804
MGYG000000040__gradient_L9_mos_gapseq	1293	1415	361	bio1	0.000000	1.205057	0.071031
MGYG000000042__gradient_L0_base_gapseq	1458	1677	475	bio1	0.997553	1.438129	6.851178
MGYG000000042__gradient_L1_inulin_gapseq	1458	1677	475	bio1	1.101564	1.483940	6.936334
MGYG000000042__gradient_L2_fos_gapseq	1458	1677	475	bio1	1.101564	1.597760	6.801662
MGYG000000042__gradient_L3_gos_gapseq	1458	1677	475	bio1	1.171723	1.501833	6.902924
MGYG000000042__gradient_L4_xos_gapseq	1458	1677	475	bio1	1.243398	1.482100	6.822610
MGYG000000042__gradient_L5_pectin_gapseq	1458	1677	475	bio1	1.243398	1.402239	7.013471
MGYG000000042__gradient_L6_resistant_starch_gapseq	1458	1677	475	bio1	1.718540	1.380481	6.842750
MGYG000000042__gradient_L7_bglucan_gapseq	1458	1677	475	bio1	1.881649	1.371200	6.851931
MGYG000000042__gradient_L8_hmo_gapseq	1458	1677	475	bio1	1.881649	1.599489	6.951681
MGYG000000042__gradient_L9_mos_gapseq	1458	1677	475	bio1	1.985660	1.484749	6.790980
MGYG000000044__gradient_L0_base_gapseq	1554	1820	517	bio1	0.000000	1.489627	0.099282
MGYG000000044__gradient_L1_inulin_gapseq	1554	1820	517	bio1	0.000000	1.695959	0.098249
MGYG000000044__gradient_L2_fos_gapseq	1554	1820	517	bio1	0.000000	1.705314	0.104325
MGYG000000044__gradient_L3_gos_gapseq	1554	1820	517	bio1	0.000000	1.537726	0.093607
MGYG000000044__gradient_L4_xos_gapseq	1554	1820	517	bio1	0.000000	1.820603	0.096588
MGYG000000044__gradient_L5_pectin_gapseq	1554	1820	517	bio1	0.000000	1.534201	0.267221
MGYG000000044__gradient_L6_resistant_starch_gapseq	1554	1820	517	bio1	0.000000	1.496297	0.094839
MGYG000000044__gradient_L7_bglucan_gapseq	1554	1820	517	bio1	0.000000	1.727912	0.090594
MGYG000000044__gradient_L8_hmo_gapseq	1554	1820	517	bio1	0.000000	1.523648	0.102637
MGYG000000044__gradient_L9_mos_gapseq	1554	1820	517	bio1	0.000000	1.678177	0.096561
MGYG000000047__gradient_L0_base_gapseq	1538	1795	512	bio1	1.250279	1.627651	7.979580
MGYG000000047__gradient_L1_inulin_gapseq	1538	1795	512	bio1	1.588195	1.804120	7.767700
MGYG000000047__gradient_L2_fos_gapseq	1538	1795	512	bio1	1.588195	1.515238	7.926924
MGYG000000047__gradient_L3_gos_gapseq	1538	1795	512	bio1	1.917663	1.516488	7.850656
MGYG000000047__gradient_L4_xos_gapseq	1538	1795	512	bio1	1.993694	1.545609	7.831175
MGYG000000047__gradient_L5_pectin_gapseq	1538	1795	512	bio1	2.057053	1.498625	7.784993
MGYG000000047__gradient_L6_resistant_starch_gapseq	1538	1795	512	bio1	2.794132	1.495692	7.837660
MGYG000000047__gradient_L7_bglucan_gapseq	1538	1795	512	bio1	3.040983	1.698464	7.663973
MGYG000000047__gradient_L8_hmo_gapseq	1538	1795	512	bio1	3.212753	1.601958	7.724040
MGYG000000047__gradient_L9_mos_gapseq	1538	1795	512	bio1	3.379867	1.633291	7.705503
MGYG000000051__gradient_L0_base_gapseq	1361	1548	442	bio1	0.000000	1.283718	0.278433
MGYG000000051__gradient_L1_inulin_gapseq	1361	1548	442	bio1	0.000000	1.268280	0.082157
MGYG000000051__gradient_L2_fos_gapseq	1361	1548	442	bio1	0.000000	1.468257	0.072531
MGYG000000051__gradient_L3_gos_gapseq	1361	1548	442	bio1	0.000000	1.294053	0.073873
MGYG000000051__gradient_L4_xos_gapseq	1361	1548	442	bio1	0.000000	1.445143	0.078521
MGYG000000051__gradient_L5_pectin_gapseq	1361	1548	442	bio1	0.000000	1.244100	0.077588
MGYG000000051__gradient_L6_resistant_starch_gapseq	1361	1548	442	bio1	0.000000	1.507750	0.078172
MGYG000000051__gradient_L7_bglucan_gapseq	1361	1548	442	bio1	0.000000	1.258498	0.078415
MGYG000000051__gradient_L8_hmo_gapseq	1361	1548	442	bio1	0.000000	1.453785	0.084022
MGYG000000051__gradient_L9_mos_gapseq	1361	1548	442	bio1	0.000000	1.273552	0.073174
MGYG000000057__gradient_L0_base_gapseq	1381	1663	496	bio1	0.000000	1.581436	0.081342
MGYG000000057__gradient_L1_inulin_gapseq	1381	1663	496	bio1	0.000000	1.339799	0.082940
MGYG000000057__gradient_L2_fos_gapseq	1381	1663	496	bio1	0.000000	1.552643	0.082660
MGYG000000057__gradient_L3_gos_gapseq	1381	1663	496	bio1	1.232533	1.346696	7.090778
MGYG000000057__gradient_L4_xos_gapseq	1381	1663	496	bio1	1.374592	1.342851	6.611720
MGYG000000057__gradient_L5_pectin_gapseq	1381	1663	496	bio1	1.374592	1.476791	6.557686
MGYG000000057__gradient_L6_resistant_starch_gapseq	1381	1663	496	bio1	1.883792	1.563559	6.819985
MGYG000000057__gradient_L7_bglucan_gapseq	1381	1663	496	bio1	2.048744	1.478615	6.555283
MGYG000000057__gradient_L8_hmo_gapseq	1381	1663	496	bio1	2.048744	1.444727	6.644730
MGYG000000057__gradient_L9_mos_gapseq	1381	1663	496	bio1	2.153931	1.375886	6.726455
MGYG000000060__gradient_L0_base_gapseq	1365	1534	395	bio1	0.000000	1.407848	0.062958
MGYG000000060__gradient_L1_inulin_gapseq	1365	1534	395	bio1	0.000000	1.228020	0.061127
MGYG000000060__gradient_L2_fos_gapseq	1365	1534	395	bio1	0.000000	1.348247	0.061264
MGYG000000060__gradient_L3_gos_gapseq	1365	1534	395	bio1	0.905600	1.290332	5.685649
MGYG000000060__gradient_L4_xos_gapseq	1365	1534	395	bio1	0.905600	1.232035	5.552438
MGYG000000060__gradient_L5_pectin_gapseq	1365	1534	395	bio1	0.938446	1.334403	5.622932
MGYG000000060__gradient_L6_resistant_starch_gapseq	1365	1534	395	bio1	1.407703	1.424412	5.745511
MGYG000000060__gradient_L7_bglucan_gapseq	1365	1534	395	bio1	1.565129	1.240187	5.672918
MGYG000000060__gradient_L8_hmo_gapseq	1365	1534	395	bio1	1.565129	1.257025	5.506401
MGYG000000060__gradient_L9_mos_gapseq	1365	1534	395	bio1	1.638139	1.330222	5.531207
MGYG000000061__gradient_L0_base_gapseq	1183	1311	331	bio1	0.379755	1.056581	4.216285
MGYG000000061__gradient_L1_inulin_gapseq	1183	1311	331	bio1	0.569638	1.166245	4.275485
MGYG000000061__gradient_L2_fos_gapseq	1183	1311	331	bio1	0.569638	1.103343	4.404174
MGYG000000061__gradient_L3_gos_gapseq	1183	1311	331	bio1	0.740533	1.240775	4.217981
MGYG000000061__gradient_L4_xos_gapseq	1183	1311	331	bio1	0.740533	1.195366	4.211553
MGYG000000061__gradient_L5_pectin_gapseq	1183	1311	331	bio1	0.740533	1.081645	4.210262
MGYG000000061__gradient_L6_resistant_starch_gapseq	1183	1311	331	bio1	1.138900	1.238886	4.218707
MGYG000000061__gradient_L7_bglucan_gapseq	1183	1311	331	bio1	1.138900	1.092155	4.295242
MGYG000000061__gradient_L8_hmo_gapseq	1183	1311	331	bio1	1.138900	1.097808	4.209526
MGYG000000061__gradient_L9_mos_gapseq	1183	1311	331	bio1	1.232063	1.185460	4.213470
MGYG000000062__gradient_L0_base_gapseq	1370	1580	463	bio1	0.720512	1.310427	5.969227
MGYG000000062__gradient_L1_inulin_gapseq	1370	1580	463	bio1	1.083418	1.399733	6.060192
MGYG000000062__gradient_L2_fos_gapseq	1370	1580	463	bio1	1.083418	1.472945	5.893451
MGYG000000062__gradient_L3_gos_gapseq	1370	1580	463	bio1	1.190639	1.399795	5.889591
MGYG000000062__gradient_L4_xos_gapseq	1370	1580	463	bio1	1.190639	1.303536	5.979421
MGYG000000062__gradient_L5_pectin_gapseq	1370	1580	463	bio1	1.190639	1.317985	5.867424
MGYG000000062__gradient_L6_resistant_starch_gapseq	1370	1580	463	bio1	1.358830	1.423877	5.863890
MGYG000000062__gradient_L7_bglucan_gapseq	1370	1580	463	bio1	1.604809	1.424429	5.872312
MGYG000000062__gradient_L8_hmo_gapseq	1370	1580	463	bio1	1.604809	1.440734	5.854372
MGYG000000062__gradient_L9_mos_gapseq	1370	1580	463	bio1	1.772999	1.325602	6.013676
MGYG000000064__gradient_L0_base_gapseq	1657	1970	533	bio1	0.921246	1.778248	9.231395
MGYG000000064__gradient_L1_inulin_gapseq	1657	1970	533	bio1	1.164972	1.744407	9.217648
MGYG000000064__gradient_L2_fos_gapseq	1657	1970	533	bio1	1.164972	1.756538	9.235856
MGYG000000064__gradient_L3_gos_gapseq	1657	1970	533	bio1	1.430842	1.770744	9.272922
MGYG000000064__gradient_L4_xos_gapseq	1657	1970	533	bio1	1.430842	1.845855	9.208703
MGYG000000064__gradient_L5_pectin_gapseq	1657	1970	533	bio1	1.430842	1.756545	9.187001
MGYG000000064__gradient_L6_resistant_starch_gapseq	1657	1970	533	bio1	1.946461	1.754916	9.197918
MGYG000000064__gradient_L7_bglucan_gapseq	1657	1970	533	bio1	2.117151	1.704852	9.203759
MGYG000000064__gradient_L8_hmo_gapseq	1657	1970	533	bio1	2.117151	1.768476	9.251053
MGYG000000064__gradient_L9_mos_gapseq	1657	1970	533	bio1	2.236934	1.780499	9.519287
MGYG000000067__gradient_L0_base_gapseq	1371	1552	423	bio1	0.000000	1.386854	0.062635
MGYG000000067__gradient_L1_inulin_gapseq	1371	1552	423	bio1	0.000000	1.257725	0.063566
MGYG000000067__gradient_L2_fos_gapseq	1371	1552	423	bio1	0.000000	1.367693	0.062389
MGYG000000067__gradient_L3_gos_gapseq	1371	1552	423	bio1	0.000000	1.269289	0.068280
MGYG000000067__gradient_L4_xos_gapseq	1371	1552	423	bio1	1.373010	1.384771	5.715753
MGYG000000067__gradient_L5_pectin_gapseq	1371	1552	423	bio1	1.373010	1.396137	5.698033
MGYG000000067__gradient_L6_resistant_starch_gapseq	1371	1552	423	bio1	1.985185	1.289019	5.871147
MGYG000000067__gradient_L7_bglucan_gapseq	1371	1552	423	bio1	1.985185	1.279097	5.923556
MGYG000000067__gradient_L8_hmo_gapseq	1371	1552	423	bio1	1.985185	1.286343	5.763094
